Food,Quantity,Ingredients
Chilaquiles,2,Oil
Chilaquiles,0.25,Onion
Chilaquiles,30,Corn Tortillas
Chilaquiles,6,Eggs
Chilaquiles,1,Salt
Chilaquiles,1,Tomato Sauce
Chilaquiles,0.5,Montery Jack Cheese
Tacos,1,Olive Oil
Tacos,0.5,Onion
Tacos,2,Ground Beef
Tacos,0.5,Salt
Tacos,2,Flour Tortillas
Tacos,2,Taco Shells
Tacos,2,Cheese
Enchiladas,4,Boneless Chicken Breast
Enchiladas,1,Onion
Enchiladas,1,Cheddar Cheese
Enchiladas,0.5,Oregano
Enchiladas,0.5,Pepper
Enchiladas,1,Tomato Sauce
Enchiladas,1,Garlic
Enchiladas,8,Flour Tortillas
Quesadillas,1,Boneless Chicken Breast
Quesadillas,3,Fajita Seasoning
Quesadillas,1,Oil
Quesadillas,2,Bell Peppers
Quesadillas,10,Flour Tortillas
Quesadillas,10,Bacon 
Quesadillas,1,Montery Jack Cheese
Pepperoni Pizza,0.5,Tomato Sauce
Pepperoni Pizza,1,Red Pepper Flakes
Pepperoni Pizza,2,Olive Oil
Pepperoni Pizza,6,Bacon
Pepperoni Pizza,0.25,Dry Yeast
Pepperoni Pizza,3,Bread Flour
Pepperoni Pizza,0.5,Red Onion
Pepperoni Pizza,0.5,Fresh Mozzarella Cheese
Spaghetti and meatballs,1,Ground Beef
Spaghetti and meatballs,1,Spaghetti
Spaghetti and meatballs,0.3,Breadcrumbs
Spaghetti and meatballs,1,Egg
Spaghetti and meatballs,2,Garlic
Spaghetti and meatballs,1,Salt
Spaghetti and meatballs,0.5,Red Pepper Flakes
Spaghetti and meatballs,2,Oil
Spaghetti and meatballs,0.5,Onion
Spaghetti and meatballs,1,Pepper
Fettuccine Alfredo,24,Fettuccini
Fettuccine Alfredo,1,Butter
Fettuccine Alfredo,1,Cream
Fettuccine Alfredo,1,Salt
Fettuccine Alfredo,0.75,Romano Cheese
Fettuccine Alfredo,0.5,Parmesan Cheese
Chicken Parmesan,1,Boneless Chicken Breast
Chicken Parmesan,1,Salt
Chicken Parmesan,2,Eggs
Chicken Parmesan,1,Breadcrumbs
Chicken Parmesan,0.5,Parmesan Cheese
Chicken Parmesan,2,All Purpose Flour
Chicken Parmesan,1,Oil
Chicken Parmesan,0.5,Tomato Sauce
Turkey and cheese sandwich,2,Bread
Turkey and cheese sandwich,20,Turkey Breast Roast
Turkey and cheese sandwich,2,Cheese
Turkey and cheese sandwich,2,Baby Spinach
BBQ Bacon Cheeseburger,0.25,Mayonnaise
BBQ Bacon Cheeseburger,0.25,Barbecue Sauce
BBQ Bacon Cheeseburger,4,Bacon Strips
BBQ Bacon Cheeseburger,1,Steak Seasoning
BBQ Bacon Cheeseburger,1,Ground Beef
BBQ Bacon Cheeseburger,4,Cheese
BBQ Bacon Cheeseburger,2,Hamburger Buns
BBQ Bacon Cheeseburger,2,Lettuce Leaves
Chicken Fried Steak,0.5,Beef Cube Steaks
Chicken Fried Steak,2,All Purpose Flour
Chicken Fried Steak,2,Baking Powder
Chicken Fried Steak,1,Baking Soda
Chicken Fried Steak,1,Pepper
Chicken Fried Steak,0.75,Salt
Chicken Chow Mein,2,Soy Sauce
Chicken Chow Mein,0.25,Sesame Oil
Chicken Chow Mein,0.5,Boneless Chicken Breast
Chicken Chow Mein,0.75,Chicken Broth
Chicken Chow Mein,1,Sugar
Chicken Chow Mein,0.5,Noodles
