,Ingredient,Quantity
0,Oil,7154.0
1,Onion,7675.5
2,Corn Tortillas,4030.0
3,Eggs,7623.0
4,Salt,6906.75
5,Tomato Sauce,9339.0
6,Montery Jack Cheese,9700.5
7,Olive Oil,9428.0
8,Ground Beef,9145.0
9,Flour Tortillas,6048.0
10,Taco Shells,9608.0
11,Cheese,8564.0
12,Boneless Chicken Breast,8113.0
13,Cheddar Cheese,9805.0
14,Oregano,9902.5
15,Pepper,8460.5
16,Garlic,6550.0
17,Fajita Seasoning,9400.0
18,Bell Peppers,9600.0
19,Bacon ,8000.0
20,Red Pepper Flakes,9899.0
21,Bacon,10000
22,Dry Yeast,10000
23,Bread Flour,10000
24,Red Onion,10000
25,Fresh Mozzarella Cheese,10000
26,Spaghetti,7750.0
27,Breadcrumbs,9939.400000000147
28,Egg,9542.0
29,Fettuccini,5464.0
30,Butter,9147.0
31,Cream,9811.0
32,Romano Cheese,9858.25
33,Parmesan Cheese,9905.5
34,All Purpose Flour,8385.0
35,Bread,10000
36,Turkey Breast Roast,10000
37,Baby Spinach,10000
38,Mayonnaise,9934.75
39,Barbecue Sauce,9934.75
40,Bacon Strips,8956.0
41,Steak Seasoning,9739.0
42,Hamburger Buns,9478.0
43,Lettuce Leaves,9478.0
44,Beef Cube Steaks,9872.5
45,Baking Powder,9230.0
46,Baking Soda,9745.0
47,Soy Sauce,7429.0
48,Sesame Oil,9680.0
49,Chicken Broth,9808.0
50,Sugar,8385.0
51,Noodles,5728.0
52,Vegetable Oil,7488.0
53,Mixed Veggies,9744.0
54,Asian Chile Paste,9744.0
55,Chickpeas,9542.75
56,Flour,9480.0
57,Cumin,9477.0
58,Caradamom,9740.0
59,Yogurt,9737.0
60,Tahini,9474.0
61,Pine Nuts,9474.0
62,Spinach,9208.0
63,Sushi Rice,9803.0
64,Rice Vinegar,9803.0
65,Sesame Seeds,9230.0
66,Bamboo Sushi Mat,9212.0
67,Crabmeat,9901.5
68,Tuna,9812.0
69,Chives,9906.0
70,Sweet Potato,9803.0
71,Mushroom,9474.5
72,Mirin,9606.0
73,Cabbage,9641.0
74,Pork Chops,9418.0
75,Shrimp,9737.0
76,Lemongrass,9474.0
77,Red Chilli Paste,9474.0
78,Fish Sauce,8701.0
79,Lime Juice,7124.0
80,Curry Powder,9738.0
81,Coconut Milk,8952.0
82,Chicken,8962.0
83,Oyster Sauce,9488.0
84,Ginger Garlic Paste,9479.0
85,Chili Powder,9476.0
86,Garam Masala,9092.0
87,Lemon,9743.0
88,Cilantro,8978.0
89,Tumeric Powder,9936.5
90,Potato,9492.0
91,Cauliflower,9873.0
