Food,Quantity,Unit,Ingredients
,,,
Chilaquiles,2,Cups,Oil
Chilaquiles,0.25,Cups,Onion
Chilaquiles,30,Piece,Corn Tortillas
Chilaquiles,6,Piece,Eggs
Chilaquiles,1,Tablespoon,Salt
Chilaquiles,1,Ounce,Tomato Sauce
Chilaquiles,0.5,Cups,Montery Jack Cheese
Tacos,1,Tablespoon,Olive Oil
Tacos,0.5,Piece,Onion
Tacos,2,Pound,Ground Beef
Tacos,0.5,Tablespoon,Salt
Tacos,2,Piece,Flour Tortillas
Tacos,2,Piece,Taco Shells
Tacos,2,Slice,Cheese
Enchiladas,4,Piece,Boneless Chicken Breast
Enchiladas,1,Piece,Onion
Enchiladas,1,Cups,Cheddar Cheese
Enchiladas,0.5,Tablespoon,Oregano
Enchiladas,0.5,Tablespoon,Pepper
Enchiladas,1,Ounce,Tomato Sauce
Enchiladas,1,Clove,Garlic
Enchiladas,8,Piece,Flour Tortillas
Quesadillas,1,Pound,Boneless Chicken Breast
Quesadillas,3,Tablespoon,Fajita Seasoning
Quesadillas,1,Tablespoon,Oil
Quesadillas,2,Piece,Bell Peppers
Quesadillas,10,Piece,Flour Tortillas
Quesadillas,10,Slice,Bacon 
Quesadillas,1,Cups,Montery Jack Cheese
Pepperoni Pizza,0.5,Cups,Tomato Sauce
Pepperoni Pizza,1,Tablespoon,Red Pepper Flakes
Pepperoni Pizza,2,Tablespoon,Olive Oil
Pepperoni Pizza,6,Slice,Bacon
Pepperoni Pizza,0.25,Ounce,Dry Yeast
Pepperoni Pizza,3,Cups,Bread Flour
Pepperoni Pizza,0.5,Piece,Red Onion
Pepperoni Pizza,0.5,Pound,Fresh Mozzarella Cheese
Spaghetti and meatballs,1,Pound,Ground Beef
Spaghetti and meatballs,1,Pound,Spaghetti
Spaghetti and meatballs,0.3,Cups,Breadcrumbs
Spaghetti and meatballs,1,Piece,Egg
Spaghetti and meatballs,2,Clove,Garlic
Spaghetti and meatballs,1,Tablespoon,Salt
Spaghetti and meatballs,0.5,Tablespoon,Red Pepper Flakes
Spaghetti and meatballs,2,Tablespoon,Oil
Spaghetti and meatballs,0.5,Cups,Onion
Spaghetti and meatballs,1,Tablespoon,Pepper
Fettuccine Alfredo,24,Ounce,Fettuccini
Fettuccine Alfredo,1,Cups,Butter
Fettuccine Alfredo,1,Pint,Cream
Fettuccine Alfredo,1,Tablespoon,Salt
Fettuccine Alfredo,0.75,Cups,Romano Cheese
Fettuccine Alfredo,0.5,Cups,Parmesan Cheese
Chicken Parmesan,1,Pound,Boneless Chicken Breast
Chicken Parmesan,1,Tablespoon,Salt
Chicken Parmesan,2,Piece,Eggs
Chicken Parmesan,1,Cups,Breadcrumbs
Chicken Parmesan,0.5,Cups,Parmesan Cheese
Chicken Parmesan,2,Tablespoon,All Purpose Flour
Chicken Parmesan,1,Cups,Oil
Chicken Parmesan,0.5,Cups,Tomato Sauce
Turkey and cheese sandwich,2,Slice,Bread
Turkey and cheese sandwich,20,Gram,Turkey Breast Roast
Turkey and cheese sandwich,2,Slice,Cheese
Turkey and cheese sandwich,2,Piece,Baby Spinach
BBQ Bacon Cheeseburger,0.25,Cups,Mayonnaise
BBQ Bacon Cheeseburger,0.25,Cups,Barbecue Sauce
BBQ Bacon Cheeseburger,4,Slice,Bacon Strips
BBQ Bacon Cheeseburger,1,Tablespoon,Steak Seasoning
BBQ Bacon Cheeseburger,1,Pound,Ground Beef
BBQ Bacon Cheeseburger,4,Slice,Cheese
BBQ Bacon Cheeseburger,2,Piece,Hamburger Buns
BBQ Bacon Cheeseburger,2,Piece,Lettuce Leaves
Chicken Fried Steak,0.5,Pound,Beef Cube Steaks
Chicken Fried Steak,2,Cups,All Purpose Flour
Chicken Fried Steak,2,Tablespoon,Baking Powder
Chicken Fried Steak,1,Tablespoon,Baking Soda
Chicken Fried Steak,1,Tablespoon,Pepper
Chicken Fried Steak,0.75,Tablespoon,Salt
Chicken Chow Mein,2,Tablespoon,Soy Sauce
Chicken Chow Mein,0.25,Tablespoon,Sesame Oil
Chicken Chow Mein,0.5,Pound,Boneless Chicken Breast
Chicken Chow Mein,0.75,Cups,Chicken Broth
Chicken Chow Mein,1,Tablespoon,Sugar
