Category,Food,Ingredients
,,
Pizza,Cheese Pizza,1/4 ounce Dry Yeast
,,3 cups Bread Flour
,,1 teaspoon Salt
,,1/2 cup tomato puree
,,2 tablespoons tomato paste
,,1 tablespoon Olive Oil
,,4 ounces Fresh Mozzarella Cheese
,,
,Bacon Pizza,1/2 cup Tomato Sauce
,,1 teaspoon Red Pepper Flakes
,,2 tablespoons Olive Oil
,,6 slices Bacon
,,1/4 ounce Dry Yeast
,,3 cups Bread Flour
,,1/2 small Red Onion
,,1/2 poundFresh Mozzarella Cheese
,,
,Veggie Pizza,3 cups Bread Flour
,,1/4 ounce Dry Yeast
,,1/2 cup tomato sauce
,,8 ounce cream cheese
,,1 small onion
,,1 stalk celery
,,1 red bell pepper
,,1 cup fresh brocolli
,,
Bakeries,Bagels,.25 ounce dry yeast
,,2 tablespoons sugar
,,1 tablespoon vegetable oil
,,7 cups bread flour
,,1 tablespoon salt
,,
,Waffles,2 eggs
,,1 3/4 cups milk
,,1/2 cup vegetable oil
,,1 tablespoon sugar
,,4 teaspoons baking powder
,,1/2 teaspoon vanilla extract
,,
,Pancakes,1 cup all-purpose flour
,,2 tablespoons sugar
,,2 teaspoons baking powder
,,1 teaspoon salt
,,1 egg
,,1 cup milk
,,2 tablespoons vegetable oil
,,
,Muffins,2 cups all-purpose flour
,,3 teaspoons baking powder
,,1/2 teaspoons salt
,,3/4 cup sugar
,,1 egg
,,1 cup milk
,,1/4 cup vegetable oil
,,
Sandwich Shop,Turkey and Cheese,2 slices bread 
,,20 g turkey breast roast
,,1 slice cheese
,,1/4 cup baby spinach
,,
,Egg Salad,8 eggs
,,1/2 cup Mayonnaise
,,1/4 cup green onion
,,salt and pepper
,,1/4 teaspoon paprika
,,
,Grilled Cheese,2 slices white bread
,,3 tablespoons butter
,,2 slices Cheddar cheese
,,
Steak and BBQ,BBQ Bacon Cheeseburger,1/4 cup mayonnaise
,,1/4 cup barbecue sauce
,,4 Bacon Strips
,,1 teaspoon steak seasoning
,,1 pound ground beef
,,4 slices cheese
,,2 hamburger buns
,,Lettuce leaves
,,
,Pork Porterhouse,4 pork porterhouse chops
,,1 tablespoon olive oil
,,3/4 teaspoon salt
,,1/2 teaspoon pepper
,,
,Smoked Cheddar Burger,4 pounds ground beef
,,4 1 inch chunks of smoked cheddar
,,4 hamburger buns
,,1 tablespoon olive oil
,,2 tsp garlic and herb seasoning
,,
Mexican,Burritos,1/4 cup green chillies
,,1/4 cup chopped onion
,,8 flour tortillas
,,8 slice cheese
,,1 pound ground beef
,,1 cup salsa
,,shredded lettuce
,,
,Taco,1 tsp olive oil
,,1/2 onion
,,2 pounds ground beef
,,1/2 tsp salt
,,2 flour tortillas
,,2 taco shells
,,2 slices cheese
,,
,Enchiladas,4 boneless chicken breast halves
,,1 onion
,,1 cup Cheddar cheese
,,1/2 tsp dried oregano
,,1/2 tsp ground black pepper
,,1 can tomato sauce
,,1 clove garlic
,,8 flour tortillas
,,
Chinese,Chicken Chow Mein,2 tsp soy sauce
,,1/4 tsp sesame oil
,,1/2 pound boneless chicken breasts
,,3/4 cup chicken broth
,,1 tsp sugar
,,1/2 pound chow mein noodles
,,1 tsp vegetable oil
,,2 tsp green onion
,,
,Beef Lo Mein,8 oz spagetti
,,1 tsp sesame oil
,,4 cloves garlic
,,4 cups mixed veggies
,,3 tsp soy sauce
,,2 tsp sugar
,,1 tsp Asian chile paste
,,
,Fried Dumpling,4 cups all-purpose flour
,,2 tsp baking powder
,,1 tsp salt
,,1/2 cup butter
,,1 cup vegetable oil
,,
Ice Cream,Strawberry Shake,8 oz strawberries
,,1 pint vanilla ice cream
,,1/4 cup milk
,,
,Mango Shake,2 Alphonso mangoes
,,2 cups milk
,,1 pint vanilla ice cream
,,
,Oreo Shake,3 scoops vanilla ice cream
,,1 cup milk
,,6 Oreos
